iter	RMSE
0	1690103.29
1	1611939.36
2	1543180.561
3	1484563.923
4	1430857.725
5	1378043.526
6	1342696.125
7	1307054.426
8	1278781.211
9	1239464.917
10	1203323.596
11	1168050.757
12	1139278.666
13	1113928.74
14	1091892.475
15	1072805.508
16	1055651.171
17	1045206.989
18	1031768.065
19	1021210.232
20	1002130.252
21	992558.6084
22	978014.2924
23	966002.049
24	951523.07
25	943492.8587
26	935247.2194
27	925759.1255
28	918679.0653
29	911716.356
30	902761.4481
31	897083.4245
32	891857.9839
33	886238.4804
34	880667.8505
35	867498.4071
36	864409.888
37	861721.0003
38	854743.9426
39	849726.3073
40	840738.9336
41	836439.8162
42	830598.644
43	825977.133
44	817704.3494
45	814322.5938
46	809707.1951
47	804471.5054
48	801480.3172
49	800306.6789
50	796053.2752
51	790886.4769
52	787070.2226
53	782849.1893
54	777502.1725
55	774156.255
56	772011.6688
57	770056.7866
58	767585.2713
59	765885.8923
60	758617.823
61	752354.7834
62	745381.8381
63	743270.7189
64	740173.9471
65	736292.5755
66	734864.4385
67	729993.0598
68	728241.369
69	724421.8416
70	722599.9266
71	718478.3512
72	712752.8973
73	710835.2954
74	708622.4408
75	707107.6263
76	705178.9324
77	700819.8275
78	699307.4277
79	696439.5045
80	694796.5553
81	692668.4144
82	692105.5022
83	688442.7268
84	685512.4071
85	681265.7046
86	676518.2249
87	673585.7059
88	671325.257
89	669028.3735
90	664705.7236
91	661951.164
92	659585.2148
93	655399.0398
94	652546.3894
95	651527.5279
96	651056.0085
97	646844.3853
98	645794.3718
99	644871.289
