iter	Passed	Remaining
0	58	5743
1	60	2963
2	61	1986
3	61	1486
4	62	1194
5	63	998
6	64	857
7	65	750
8	65	666
9	66	601
10	67	547
11	68	500
12	68	461
13	69	427
14	70	398
15	71	372
16	71	349
17	72	328
18	72	309
19	73	292
20	73	277
21	74	264
22	75	252
23	75	240
24	76	229
25	76	218
26	77	208
27	77	200
28	78	191
29	79	184
30	79	177
31	80	171
32	81	165
33	81	159
34	82	153
35	83	148
36	83	142
37	84	137
38	85	133
39	85	128
40	86	124
41	87	120
42	88	116
43	88	112
44	89	109
45	89	105
46	90	101
47	90	98
48	91	95
49	91	91
50	92	88
51	93	85
52	93	83
53	94	80
54	94	77
55	95	75
56	96	72
57	96	70
58	97	67
59	97	65
60	98	62
61	98	60
62	99	58
63	99	56
64	100	53
65	100	51
66	101	49
67	101	47
68	102	45
69	102	44
70	103	42
71	103	40
72	104	38
73	104	36
74	104	34
75	105	33
76	105	31
77	106	29
78	106	28
79	106	26
80	107	25
81	107	23
82	108	22
83	109	20
84	109	19
85	110	17
86	110	16
87	111	15
88	111	13
89	111	12
90	112	11
91	112	9
92	113	8
93	114	7
94	114	6
95	114	4
96	115	3
97	115	2
98	116	1
99	116	0
